siła mutacji - σ,max,min,średnia,std
"3,1",37310.2624672105,3030.454083420452,14362.73780000848,8080.429522956964
"3,2",41532.71032621527,2156.519015277894,15515.485833337272,9027.2677253296
"3,3",35236.367974041634,2689.4593969109164,14761.118270027182,7952.650362577511
"3,4",45747.94723258441,2271.7059528221876,14833.781670233733,9373.637179435576
"3,5",41830.573345921795,2656.674157372755,16480.576502717475,9433.930313758214
"3,6",44071.39197058587,3281.1124856766514,17493.092674489504,9741.236227308942
"3,7",44446.19860095268,2650.9812242655635,16875.247658409935,9483.823666349708
"3,8",38816.00086027124,1846.3578025400752,16142.010160332728,8958.249777841398
"3,9",53404.51728716095,3482.5748897461094,18205.615075202244,10269.159339192738
"4,0",60633.03274033841,1930.4758967970574,17723.234536259424,10500.087768579346
